[nltk_data] Downloading package stopwords to /home/adria/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
Tokenizing text!
Testing... Epoch 0
Current loss: -0.19235940277576447
Current loss: -0.28233519196510315
Current loss: -0.19536350667476654
Current loss: -0.25450244545936584
Current loss: -0.2222965806722641
Current loss: -0.30382558703422546
Current loss: -0.22458219528198242
Current loss: -0.26694467663764954
Current loss: -0.1733522266149521
Current loss: -0.2644931375980377
Current loss: -0.19678956270217896
Current loss: -0.27542564272880554
Current loss: -0.29769712686538696
Current loss: -0.17849542200565338
Current loss: -0.2466583251953125
Current loss: -0.12713181972503662
Current loss: -0.1863650530576706
Current loss: -0.2663995921611786
Current loss: -0.15300127863883972
Current loss: -0.27442237734794617
Current loss: -0.13818176090717316
Training... Epoch 0
Current loss: -0.23480987548828125
Current loss: -0.22388100624084473
Current loss: -0.40439581871032715
Current loss: -0.42479729652404785
Current loss: -0.43133899569511414
Current loss: -0.2987920343875885
Current loss: -0.2979358434677124
Current loss: -0.5760197639465332
Current loss: -0.42178502678871155
Current loss: -0.17285072803497314
Current loss: -0.8488182425498962
Current loss: -0.6007987856864929
Current loss: -0.918107807636261
Current loss: -1.2175272703170776
Current loss: -0.6871849894523621
Current loss: -0.6466532349586487
Current loss: -1.307754397392273
Current loss: -1.293906569480896
Current loss: -1.3086286783218384
Current loss: -1.3284138441085815
Current loss: -0.974587619304657
Current loss: -1.0618079900741577
Current loss: -1.359975814819336
Current loss: -1.3688169717788696
Current loss: -1.3686805963516235
Current loss: -1.3781286478042603
Current loss: -1.3784103393554688
Current loss: -0.7868655323982239
Current loss: -1.0269187688827515
Current loss: -1.3899465799331665
Current loss: -0.8252531886100769
Current loss: -0.8446219563484192
Current loss: -1.3911421298980713
Current loss: -1.3876724243164062
Current loss: -1.4017040729522705
Current loss: -1.4076693058013916
Current loss: -1.4131337404251099
Current loss: -1.410806655883789
Current loss: -0.5896710753440857
Current loss: -0.7878108024597168
Current loss: -1.1235904693603516
Current loss: -0.6565787196159363
Testing... Epoch 1
Current loss: -1.4149478673934937
Current loss: -1.4218945503234863
Current loss: -1.1236763000488281
Current loss: -0.7575880885124207
Current loss: -1.4201151132583618
Current loss: -0.6911389231681824
Current loss: -0.7222477793693542
Current loss: -1.4146074056625366
Current loss: -1.0363339185714722
Current loss: -1.4193838834762573
Current loss: -0.7924767732620239
Current loss: -1.1000598669052124
Current loss: -0.7218462228775024
Current loss: -1.1162867546081543
Current loss: -1.4227169752120972
Current loss: -0.8103049397468567
Current loss: -1.4200385808944702
Current loss: -1.4213099479675293
Current loss: -1.12417471408844
Current loss: -1.4152599573135376
Current loss: -0.5006008148193359
Training... Epoch 1
Current loss: -0.9247832298278809
Current loss: -1.1276620626449585
Current loss: -1.4213298559188843
Current loss: -1.4260077476501465
Current loss: -0.9459608197212219
Current loss: -1.1292327642440796
Current loss: -0.9917144775390625
Current loss: -0.8259986042976379
Current loss: -1.4311659336090088
Current loss: -0.8465426564216614
Current loss: -1.134795904159546
Current loss: -1.0087412595748901
Current loss: -1.1355236768722534
Current loss: -1.4334059953689575
Current loss: -1.435459017753601
Current loss: -0.7873716354370117
Current loss: -0.739397406578064
Current loss: -1.052744746208191
Current loss: -1.0589698553085327
Current loss: -1.4377036094665527
Current loss: -1.4402817487716675
Current loss: -1.1425046920776367
Current loss: -1.0707205533981323
Current loss: -1.4380455017089844
Current loss: -1.4407614469528198
Current loss: -1.247654676437378
Current loss: -1.1204735040664673
Current loss: -1.4411474466323853
Current loss: -1.4392081499099731
Current loss: -1.4408870935440063
Current loss: -1.1697231531143188
Current loss: -1.4411066770553589
Current loss: -1.4419625997543335
Current loss: -1.4410171508789062
Current loss: -1.4425560235977173
Current loss: -1.3073557615280151
Current loss: -1.2268035411834717
Current loss: -1.4421379566192627
Current loss: -1.4420678615570068
Current loss: -0.9349161386489868
Current loss: -0.9877308011054993
Current loss: -1.1434720754623413
Testing... Epoch 2
Current loss: -1.4418509006500244
Current loss: -1.442362904548645
Current loss: -1.1433438062667847
Current loss: -1.443433403968811
Current loss: -1.1899608373641968
Current loss: -1.271517038345337
Current loss: -1.3159995079040527
Current loss: -1.4423558712005615
Current loss: -1.4432607889175415
Current loss: -1.443181037902832
Current loss: -1.0594091415405273
Current loss: -1.4425102472305298
Current loss: -1.322473168373108
Current loss: -1.4426828622817993
Current loss: -1.44221830368042
Current loss: -1.0336581468582153
Current loss: -1.1894460916519165
Current loss: -1.4417699575424194
Current loss: -1.0086023807525635
Current loss: -1.3219842910766602
Current loss: -1.1425609588623047
Training... Epoch 2
Current loss: -1.4424268007278442
Current loss: -1.060538649559021
Current loss: -1.2664676904678345
Current loss: -1.3070608377456665
Current loss: -1.4443318843841553
Current loss: -1.1445897817611694
Current loss: -1.307771921157837
Current loss: -1.238363265991211
Current loss: -1.4443495273590088
Current loss: -1.1458324193954468
Current loss: -1.1456550359725952
Current loss: -1.4432590007781982
Current loss: -1.146224021911621
Current loss: -1.4173463582992554
Current loss: -1.4452953338623047
Current loss: -1.1472704410552979
Current loss: -1.4472105503082275
Current loss: -1.3374444246292114
Current loss: -1.4466007947921753
Current loss: -1.4481157064437866
Current loss: -1.4481841325759888
Current loss: -1.1405842304229736
Current loss: -1.4318130016326904
Current loss: -1.4488571882247925
Current loss: -1.449184775352478
Current loss: -1.448346495628357
Current loss: -1.4494553804397583
Current loss: -1.4494537115097046
Current loss: -1.4436454772949219
Current loss: -1.4486960172653198
Current loss: -1.4485130310058594
Current loss: -1.4454028606414795
Current loss: -1.4489672183990479
Current loss: -1.4492201805114746
Current loss: -1.4496649503707886
Current loss: -1.4498034715652466
Current loss: -1.4457231760025024
Current loss: -1.4471405744552612
Current loss: -1.4478784799575806
Current loss: -1.1498987674713135
Current loss: -1.148398518562317
Current loss: -1.1498979330062866
Testing... Epoch 3
Current loss: -1.4499167203903198
Current loss: -1.4492591619491577
Current loss: -1.1498678922653198
Current loss: -1.4484699964523315
Current loss: -1.44753897190094
Current loss: -1.4487794637680054
Current loss: -1.449885606765747
Current loss: -1.4483228921890259
Current loss: -1.4498957395553589
Current loss: -1.4488228559494019
Current loss: -1.1498959064483643
Current loss: -1.448580265045166
Current loss: -1.4498605728149414
Current loss: -1.4498682022094727
Current loss: -1.4484939575195312
Current loss: -1.148952841758728
Current loss: -1.4495972394943237
Current loss: -1.447326898574829
Current loss: -1.1483347415924072
Current loss: -1.449663519859314
Current loss: -1.1491056680679321
Training... Epoch 3
Current loss: -1.4494901895523071
Current loss: -1.1493438482284546
Current loss: -1.4492350816726685
Current loss: -1.4498987197875977
Current loss: -1.4477390050888062
Current loss: -1.149749994277954
Current loss: -1.4488605260849
Current loss: -1.449961543083191
Current loss: -1.4498817920684814
Current loss: -1.1499418020248413
Current loss: -1.1499906778335571
Current loss: -1.4498869180679321
Current loss: -1.1499733924865723
Current loss: -1.449999451637268
Current loss: -1.4499752521514893
Current loss: -1.1499985456466675
Current loss: -1.449985384941101
Current loss: -1.4499987363815308
Current loss: -1.4499967098236084
Current loss: -1.44983971118927
Current loss: -1.4499969482421875
Current loss: -1.1499862670898438
Current loss: -1.4499977827072144
Current loss: -1.4499965906143188
Current loss: -1.4499993324279785
Current loss: -1.4499982595443726
Current loss: -1.4499977827072144
Current loss: -1.4499990940093994
Current loss: -1.4499975442886353
Current loss: -1.4499976634979248
Current loss: -1.4499996900558472
Current loss: -1.449999213218689
Current loss: -1.4499980211257935
Current loss: -1.4500000476837158
Current loss: -1.4499870538711548
Current loss: -1.4500000476837158
Current loss: -1.449995994567871
Current loss: -1.4499995708465576
Current loss: -1.4499976634979248
Current loss: -1.1499998569488525
Current loss: -1.1499992609024048
Current loss: -1.1499994993209839
Testing... Epoch 4
Current loss: -1.4499832391738892
Current loss: -1.4499980211257935
Current loss: -1.1499980688095093
Current loss: -1.4499975442886353
Current loss: -1.449998140335083
Current loss: -1.4499977827072144
Current loss: -1.4499984979629517
Current loss: -1.4499963521957397
Current loss: -1.4499915838241577
Current loss: -1.4499982595443726
Current loss: -1.1499990224838257
Current loss: -1.4499971866607666
Current loss: -1.4499993324279785
Current loss: -1.4499982595443726
Current loss: -1.4499984979629517
Current loss: -1.149977207183838
Current loss: -1.4499863386154175
Current loss: -1.449997901916504
Current loss: -1.1499990224838257
Current loss: -1.449998140335083
Current loss: -1.1499990224838257
Training... Epoch 4
Current loss: -1.449999213218689
Current loss: -1.14999520778656
Current loss: -1.4499801397323608
Current loss: -1.4499969482421875
Current loss: -1.4499982595443726
Current loss: -1.1499992609024048
Current loss: -1.4499998092651367
Current loss: -1.4499996900558472
Current loss: -1.449999451637268
Current loss: -1.149999976158142
Current loss: -1.1499998569488525
Current loss: -1.4499988555908203
Current loss: -1.1499971151351929
Current loss: -1.4499990940093994
Current loss: -1.4499847888946533
Current loss: -1.149999976158142
Current loss: -1.4499996900558472
Current loss: -1.4499973058700562
Current loss: -1.4499810934066772
Current loss: -1.449997901916504
Current loss: -1.4500000476837158
Current loss: -1.1499992609024048
Current loss: -1.4499996900558472
Current loss: -1.4499727487564087
Current loss: -1.449995756149292
Current loss: -1.4499996900558472
Current loss: -1.449992060661316
Current loss: -1.4499984979629517
Current loss: -1.4500000476837158
Current loss: -1.4499998092651367
Current loss: -1.4499891996383667
Current loss: -1.4499995708465576
Current loss: -1.4499996900558472
Current loss: -1.449995517730713
Current loss: -1.4499982595443726
Current loss: -1.4499996900558472
